item_id,description,profit_margin_2023,profit_percent_total
555,dispensador alimento maya / s (200 gr.),0.0,0.0
1603,zd artsy adjustable air mesh harness small,0.0,0.0
1536,doguivit adulto,0.0,0.0
744,caña con pompones,0.0,0.0
1156,pro plan urinary cat 3kg ar,0.0,0.0
511,royal can. renal canine 2.0 kg.,0.0,0.0
15,small heart aluminum red (my family),0.0,0.0
1365,puzzle twister nivel 3,0.0,0.0
613,pro plan kitten pollo 85 gr pouch,0.0,0.0
809,nutrience infusion kitten 2,0.0,0.0
1753,fancy feast tartare trucha 85 g,0.0,0.0
35,bravery salmon mini adult small breeds 7 kg,0.0,0.0
920,brit care cat grain-free indoor anti-stress 2 kg,0.0,0.0
537,eukanuba puppy small breed 2  kg,0.0,0.0
1074,nutram sound adult senior cat 1.13 kg,0.0,0.0
517,royal can. shn mini junior 3 kgr.,0.0,0.0
185,pro plan feline veterinary diets nf early,0.0,0.0
151,royal canin gastrointestinal cat 1.5 kg,0.0,0.0
403,pawise bozal tela l,0.0,0.0
1779,eukanuba premium performance 18 kg ,0.0,0.0
1060,royal renal lp modified 385 grs. (lata),0.0,0.0
1068,simparica antiparasitario 40 mg,0.0,0.0
1624,kong extreme dental con cuerda,0.0,0.0
1321,collar expandible con hebilla negro,0.0,0.0
1445,canine l/d  lata x 370 gr,0.0,0.0
194,superpet perro adulto,0.0,0.0
350,pro plan exigent small breed 3kg ar,0.0,0.0
913,bravery chicken adult cat sterilized 7 kg,0.0,0.0
867,cama para perro azumpets,0.0,0.0
1435,pet woow dispensador de alimento,0.0,0.0
1045,royal can. babycat 34 2 kgr.,0.0,0.0
465,royal can. shn mini adulto 3 kgr.,0.0,0.0
225,royal canin baby cat intinctive  165grx6un,0.0,0.0
959,brit care cat grain-free sterilized weight control 7 kg,0.0,0.0
1002,brit care cat fillets in gravy with savory salmon 85 g,0.0,0.0
1712,royal canin hair skin care 1,0.0,0.0
1401,obt-g-free s.bites - duck (2,0.0,0.0
522,small heart aluminum black (my family),0.0,0.0
1169,adult instinctive pouch 85gr 12un,0.0,0.0
1726,pro plan reduced calorie m/l 15kg ar,0.0,0.0
604,zeedog mahalo leash extra small,0.0,0.0
58,repelente spray interior 300 ml,0.0,0.0
1424,royal can. shn. medium junior 15 kgr.,0.0,0.0
236,pro plan puppy small breed 7.5kg ar,0.0,0.0
977,alfombrilla de entrenamiento de cesped,0.0,0.0
61,nt total gf small breed trout & salmon meal dog food 2 kg,0.0,0.0
1626,shn mini adulto 8+ 2.5 kg,0.0,0.0
75,zeus trailla doble asa xl azul denim 1.2m,0.0,0.0
734,nutrience infusion cat adulto 2,0.0,0.0
976,zeus arnes fig.a  m  coral,0.0,0.0
1386,rodillo quitapelos y pelusas,0.0,0.0
1364,monge medium adult chicken 12 kg,0.0,0.0
1526,pro plan canine veterinary diets en,0.0,0.0
396,intense beauty pouch 85gr 12un,0.0,0.0
1328,royal gastrointestinal felino 165 grs. (lata),0.0,0.0
119,torre árbol con casa gatos premium,0.0,0.0
559,royal canin baby dog milk 400gr,0.0,0.0
1165,fhn fit 32 1.5kg,0.0,0.0
1673,nutram sound balanced wellness puppy food 2kg,0.0,0.0
655,proplan puppy pollo y arroz 370grs,0.0,0.0
310,zeus trailla dobl asa  xl  coral 1,0.0,0.0
991,royal renal lp mod. 170 grs. (lata),0.0,0.0
1214,royal canin  feline hepatic 1.5kg,0.0,0.0
1865,juguete columpio de colores para aves,0.0,0.0
199,royal canin poodle adulto 3 kg,0.0,0.0
1296,royal can fhn indoor 7.5 kg,0.0,0.0
789,hueso masticable con textura,0.0,0.0
904,zd hawkins stranger  leash large,0.0,0.0
651,zd candy collar large,0.0,0.0
1644,proplan adulto latas,0.0,0.0
515,obt-g-free cat - chicken (2,0.0,0.0
1039,small bone aluminum black (my family),0.0,0.0
1756,zeedog skull collar small,0.0,0.0
1752,polerón con gorro verde,0.0,0.0
1664,brit care cat senior (angel)  2 kg,0.0,0.0
1514,brit care gf junior large breed salmon  3 kg,0.0,0.0
